date,campaign_id,campaign_name,ad_set_id,ad_set_name,impressions,clicks,spend,conversions,video_views,engagement_rate,reach,frequency
2024-01-19,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,47890,967,138.40,15,8789,0.0202,40234,1.19
2024-01-19,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,13890,634,235.80,40,1378,0.0457,10890,1.27
2024-01-19,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,37234,1367,209.90,28,5012,0.0367,30678,1.21
2024-01-19,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,70123,253,89.40,6,47234,0.0036,57890,1.21
2024-01-20,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,43234,878,125.70,13,7890,0.0203,36567,1.18
2024-01-20,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,11890,545,202.30,34,1156,0.0458,9567,1.28
2024-01-20,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,34567,1234,189.60,24,4567,0.0357,28934,1.19
2024-01-20,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,65234,234,81.20,5,43567,0.0036,53456,1.19
2024-01-21,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,41567,823,118.90,12,7456,0.0198,35123,1.18
2024-01-21,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,10234,467,178.40,30,945,0.0456,8456,1.21
2024-01-21,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,32890,1178,171.20,22,3789,0.0358,27234,1.21
2024-01-21,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,62345,223,76.30,4,41234,0.0036,51567,1.20
2024-01-22,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,45234,912,129.80,14,8234,0.0202,38567,1.17
2024-01-22,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,12456,567,209.60,36,1234,0.0455,9876,1.26
2024-01-22,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,35123,1267,194.50,26,4345,0.0361,29123,1.21
2024-01-22,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,66789,245,84.70,5,44567,0.0037,54890,1.22
2024-01-23,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,48567,989,140.30,15,8945,0.0204,40456,1.20
2024-01-23,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,13789,623,229.80,38,1489,0.0452,10789,1.28
2024-01-23,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,37456,1389,213.40,29,4890,0.0371,30567,1.22
2024-01-23,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,71234,256,90.50,6,48123,0.0036,58567,1.22
2024-01-24,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,51234,1067,149.70,17,9234,0.0208,42567,1.20
2024-01-24,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,14890,712,251.60,43,1578,0.0478,11790,1.26
2024-01-24,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,39234,1489,227.90,32,5234,0.0379,32123,1.22
2024-01-24,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,74567,267,95.80,7,50234,0.0036,60789,1.23
2024-01-25,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,52789,1123,156.40,18,9567,0.0213,43890,1.20
2024-01-25,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,15678,756,268.90,47,1678,0.0482,12345,1.27
2024-01-25,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,40567,1567,238.60,34,5456,0.0386,33234,1.22
2024-01-25,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,76890,278,99.20,8,51567,0.0036,62890,1.23
2024-01-26,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,50123,1034,147.50,17,9123,0.0206,41890,1.20
2024-01-26,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,14234,689,254.70,44,1456,0.0484,11234,1.27
2024-01-26,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,38890,1445,231.20,32,5123,0.0372,31567,1.23
2024-01-26,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,73456,261,94.60,7,49234,0.0036,59567,1.23
2024-01-27,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,46234,934,133.80,15,8456,0.0202,38890,1.19
2024-01-27,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,12567,567,209.40,36,1267,0.0451,9890,1.27
2024-01-27,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,35890,1289,197.80,27,4567,0.0359,29567,1.21
2024-01-27,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,68234,245,85.90,5,45678,0.0036,55890,1.22
2024-01-28,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,44567,890,127.60,13,8123,0.0200,37456,1.19
2024-01-28,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,11456,523,192.30,33,1089,0.0457,8967,1.28
2024-01-28,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,33567,1203,184.50,25,4123,0.0358,27890,1.20
2024-01-28,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,65789,234,80.40,4,43890,0.0036,54123,1.21
2024-01-29,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,47890,967,138.40,15,8789,0.0202,40234,1.19
2024-01-29,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,13234,612,226.50,39,1345,0.0463,10456,1.27
2024-01-29,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,36234,1334,203.70,28,4678,0.0368,30123,1.20
2024-01-29,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,69567,253,88.70,6,46890,0.0036,57123,1.22
2024-01-30,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,49234,1001,142.80,16,9012,0.0203,41567,1.18
2024-01-30,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,14123,645,236.90,41,1423,0.0457,11123,1.27
2024-01-30,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,37890,1412,216.50,30,4956,0.0373,30890,1.23
2024-01-30,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,72123,261,91.30,7,48567,0.0036,58890,1.22
